Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$]
DELTADRIFT,"TRI.TO, Long, 2026-03-01 (Price: 131.33)",Weekly,2026-03-08 (Price: 151.44),No Price Target,No Date Target,51.64%/71.99%,"6.65%, 10 days","2026-04-17 (Price: 127.4500), 2.95% below",240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/212.39 (EMA 200),2028-02-27 (Max)/2026-03-21 (Min)/2026-10-30 (Avg),113.99/126.1128/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,8.09%/4.48%/6.17%,"-0.0%, 11.31%",1.4 year/14 days/5.6 months,5.14%,6.08%,-0.94%,1.52,0.34,76.92%/13/2.5 months (Across ALL Assets),86.96%/115/2.2 months (Across ALL Assets),portfolio_target_achieved,113.04,
TRENDPULSE,"TRI.TO, Long, 2025-07-31 (Price: 278.08)",Monthly,No Exit Yet,No Price Target,2026-03-09 (Min),109.36%/112.36%,"-49.63%, 7.4 months","2026-04-17 (Price: 127.4500), 54.17% below",302.1895 (Historic Rise or Fall to Pivot)/321.6829 (Avg % Gain of Historic Winning trades)/419.29 (Function Specific Target)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/367.9555 (Backtested Max)/297.4344 (Backtested Min),2027-11-12 (Max)/2026-08-21 (Avg),166.11/117.9612/193.124/131.2534/No F-Track Level/No F-Track Level/249.41,"100.0%, Past 20 years, 7",No Information,No Information,No Information,No Information,No Information,48.85% below/49.3% below/49.63% below,32.32%/6.96%/15.68%,"-0.0%, 18.1%",1.6 year/5.1 months/8.9 months,10.47%,4.66%,5.81%,1.09,0.22,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),portfolio_target_achieved,274.44,
BASELINEDIVERGENCE,"NVDA, Long, 2026-01-04 (Price: 188.85)",Weekly,2026-03-11 (Price: 186.03),No Price Target,No Date Target,27.53%/28.95%,"-1.49%, 2.2 months","2026-04-17 (Price: 201.6800), 6.79% above",237.2523 (Historic Rise or Fall to Pivot)/265.051 (Avg % Gain of Historic Winning trades)/239.8943 (Function Specific Target)/239.8943 (F-Stack 1)/283.6698 (F-Stack 2)/520.905 (Backtested Max),2027-01-25 (Max)/2026-04-05 (Min)/2026-06-26 (Avg),175.02/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/176.91,"83.7%, Past 10 years, 92",No Information,"^NDX, Normal Case",No Information,No Information,No Information,No Information,175.83%/0.32%/40.35%,"35.55%, 47.56%",8.9 months/2.1 months/4 months,75.78%,46.22%,29.56%,0.69,1.86,60.0%/25/3.6 months (Across ALL Assets),65.79%/570/3.3 months (Across ALL Assets),portfolio_target_achieved,187.71,
TRENDPULSE,"GOOG, Long, 2025-10-31 (Price: 281.82)",Monthly,2026-03-11 (Price: 308.42),No Price Target,No Date Target,12.23%/33.8%,"9.44%, 4.4 months","2026-04-17 (Price: 339.4000), 20.43% above",346.1313 (Historic Rise or Fall to Pivot)/412.669 (Avg % Gain of Historic Winning trades)/443.81 (Function Specific Target)/459.4793 (Backtested Max),2027-01-17 (Max)/2026-06-09 (Min)/2026-07-27 (Avg),156.23/84.6567/240.3589/219.0619/No F-Track Level/No F-Track Level/194.01,"100.0%, Past 20 years, 11",No Information,No Information,No Information,No Information,No Information,26.64% above/22.53% above/9.44% above,63.04%/12.61%/46.43%,"-0.0%, 18.92%",10.2 months/5.1 months/6.2 months,12.41%,17.09%,-4.68%,1.16,0.87,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),portfolio_target_achieved,241.18,
TRENDPULSE,"AMZN, Long, 2024-12-31 (Price: 219.39)",Monthly,2026-03-11 (Price: 212.65),No Price Target,No Date Target,14.96%/23.01%,"-3.07%, 1.2 year","2026-04-17 (Price: 250.5600), 14.21% above",276.9141 (Historic Rise or Fall to Pivot)/286.2381 (Avg % Gain of Historic Winning trades)/244.46 (Function Specific Target)/332.4197 (Backtested Max)/261.5787 (Backtested Min),2027-07-27 (Max)/2026-06-01 (Avg),84.0/81.3658/193.0625/132.2674/No F-Track Level/No F-Track Level/189.74,"100.0%, Past 20 years, 15",No Information,No Information,No Information,No Information,No Information,2.29% above/3.07% below/3.07% below,51.52%/19.23%/30.47%,"-0.0%, 23.74%",1.8 year/6.1 months/11.9 months,15.9%,18.33%,-2.43%,1.69,0.81,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),portfolio_target_achieved,209.96,
FRACTAL TRACK,"META, Long, 2026-02-08 (Price: 661.46)",Weekly,No Exit Yet,No Price Target,2026-03-10 (Min),5.63%/16.4%,"-1.0%, 1 month","2026-04-17 (Price: 688.5500), 4.10% above",822.4594 (Historic Rise or Fall to Pivot)/775.4296 (Avg % Gain of Historic Winning trades)/1125.61 (Function Specific Target)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/691.74 (EMA 200)/797.4562 (Backtested Max)/762.2665 (Backtested Min),2029-02-07 (Max)/2027-03-06 (Avg),620.25/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 13 years, 6",No Information,No Information,No Information,"23.66% (Price: 613.221), 6.79% above, Upmove Bounce Back","2013-06-09 (Price: 22.67), 2025-08-17 (Price: 796.25)",No Information,20.56%/15.24%/17.23%,"0%, 73.01%",2.1 years/21 days/9 months,19.03%,15.86%,3.17%,8.93,0.74,95.45%/66/1.4 year (Across ALL Assets),56.67%/150/7.3 months (Across ALL Assets),portfolio_target_achieved,714.6,
DELTADRIFT,"JPM, Long, 2026-03-11 (Price: 287.52)",Daily,No Exit Yet,No Price Target,2026-03-12 (Min),3.1%/4.52%,"0.0%, 0 days","2026-04-17 (Price: 310.2900), 7.92% above",318.2846 (Historic Rise or Fall to Pivot)/300.8609 (Avg % Gain of Historic Winning trades)/309.57 (Function Specific Target)/357.3035 (F-Stack 1)/404.0796 (F-Stack 2)/300.53 (EMA 200)/310.6941 (Backtested Max)/296.4331 (Backtested Min),2026-06-01 (Max)/2026-03-12 (Min)/2026-04-04 (Avg),286.94/125.7575/271.3591/242.2068/281.4195/247.1095/No EMA 200 Support,"85.71%, Past 4 years, 7",No Information,No Information,No Information,No Information,No Information,No Information,8.06%/3.1%/4.64%,"8.8%, 11.57%",1.9 month/1 day/17 days,8.25%,11.75%,-3.5%,0.5,0.67,82.98%/141/14 days (Across ALL Assets),75.24%/521/15 days (Across ALL Assets),portfolio_target_achieved,288.81,
DELTADRIFT,"BABA, Long, 2026-03-06 (Price: 130.79)",Daily,2026-03-10 (Price: 136.85),No Price Target,No Date Target,2.58%/3.4%,"4.21%, 5 days","2026-04-17 (Price: 141.0100), 7.81% above",142.0641 (Historic Rise or Fall to Pivot)/139.8014 (Avg % Gain of Historic Winning trades)/140.93 (Function Specific Target)/181.595 (Horizontal)/395.5515 (F-Stack 1)/453.696 (F-Stack 2)/145.45 (EMA 200)/146.8249 (Backtested Max),2026-04-27 (Max)/2026-03-26 (Avg),130.35/67.495/108.0763/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"78.57%, Past 4 years, 14",No Information,No Information,No Information,No Information,No Information,No Information,12.26%/3.97%/6.89%,"17.99%, 17.99%",1.2 month/1 day/14 days,10.65%,-5.22%,15.87%,0.35,0.01,82.98%/141/14 days (Across ALL Assets),75.24%/521/15 days (Across ALL Assets),portfolio_target_achieved,129.3,
TRENDPULSE,"AMD, Long, 2025-07-31 (Price: 176.31)",Monthly,2026-02-28 (Price: 200.21),No Price Target,2026-03-09 (Min),22.71%/65.03%,"16.18%, 7.4 months","2026-04-17 (Price: 278.3900), 57.90% above",338.0392 (Historic Rise or Fall to Pivot)/355.6878 (Avg % Gain of Historic Winning trades)/251.3512 (F-Stack 2)/512.4979 (Backtested Max),2029-02-23 (Max)/2026-11-12 (Avg),97.35/73.114/170.075/140.6278/No F-Track Level/No F-Track Level/123.49,"87.5%, Past 20 years, 16",No Information,No Information,No Information,No Information,No Information,84.98% above/42.09% above/16.18% above,190.68%/9.18%/101.74%,"0.02%, 94.83%",2.5 years/5.1 months/10.8 months,20.96%,6.33%,14.63%,1.29,0.43,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),portfolio_target_achieved,138.77,
FRACTAL TRACK,"RELIANCE.NS, Long, 2026-02-22 (Price: 1419.4)",Weekly,No Exit Yet,No Price Target,2026-03-14 (Min),4.28%/6.92%,"-2.06%, 17 days","2026-04-17 (Price: 1365.0000), 3.83% below",1524.0098 (Historic Rise or Fall to Pivot)/1647.6395 (Avg % Gain of Historic Winning trades)/2146.29 (Function Specific Target)/1610.3 (Horizontal)/1879.7264 (F-Stack 1)/2065.5547 (F-Stack 2)/1449.74 (EMA 200)/1734.081 (Backtested Max)/1486.3957 (Backtested Min),2029-11-08 (Max)/2026-03-14 (Min)/2026-11-27 (Avg),1386.1/1006.0696/1375.0525/1288.3015/No F-Track Level/No F-Track Level/No EMA 200 Support,"90.48%, Past 20 years, 21",No Information,No Information,No Information,"23.66% (Price: 1325.1633), 4.91% above, Upmove Bounce Back","2020-03-29 (Price: 400.3177), 2026-01-11 (Price: 1611.8)",No Information,22.17%/4.72%/16.08%,"1.69%, 20.86%",2.6 years/14 days/6.4 months,15.84%,11.94%,3.9%,1.68,0.6,95.45%/66/1.4 year (Across ALL Assets),56.67%/150/7.3 months (Across ALL Assets),portfolio_target_achieved,1420.1,
DELTADRIFT,"HDB, Long, 2026-03-09 (Price: 29.72)",Daily,No Exit Yet,No Price Target,2026-03-10 (Min),5.68%/8.05%,"-4.1%, 2 days","2026-04-17 (Price: 27.5100), 7.44% below",32.0322 (Historic Rise or Fall to Pivot)/30.7929 (Avg % Gain of Historic Winning trades)/31.41 (Function Specific Target)/39.3812 (Horizontal)/40.717 (F-Stack 1)/47.4928 (F-Stack 2)/35.66 (EMA 200)/31.7915 (Backtested Max)/30.1182 (Backtested Min),2026-06-21 (Max)/2026-04-11 (Avg),29.47/25.6925/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 4 years, 16",No Information,No Information,No Information,No Information,No Information,No Information,6.97%/1.34%/3.61%,"-0.0%, 9.88%",2.4 months/1 day/23 days,15.13%,-1.6%,16.73%,2.09,-0.12,82.98%/141/14 days (Across ALL Assets),75.24%/521/15 days (Across ALL Assets),portfolio_target_achieved,28.93,
DELTADRIFT,"HDFCBANK.NS, Long, 2026-02-01 (Price: 929.25)",Weekly,2026-03-11 (Price: 833.95),No Price Target,2026-03-13 (Min),16.34%/16.81%,"-10.26%, 1.3 month","2026-04-17 (Price: 799.9000), 13.92% below",1065.7568 (Historic Rise or Fall to Pivot)/1008.7938 (Avg % Gain of Historic Winning trades)/1037.28 (Function Specific Target)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1305.7899 (F-Stack 2)/970.24 (EMA 200)/1038.0652 (Backtested Max)/974.1328 (Backtested Min),2026-05-11 (Max)/2026-03-13 (Min)/2026-04-15 (Avg),916.1/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 15 years, 4",No Information,No Information,No Information,No Information,No Information,No Information,11.71%/4.83%/8.56%,"0%, 16.27%",2.3 months/28 days/1.7 month,12.02%,10.83%,1.19%,2.91,0.65,76.92%/13/2.5 months (Across ALL Assets),86.96%/115/2.2 months (Across ALL Assets),portfolio_target_achieved,906.0,
DELTADRIFT,"TCS.NS, Long, 2026-02-25 (Price: 2629.3)",Daily,No Exit Yet,No Price Target,2026-03-11 (Avg),8.52%/10.17%,"-6.25%, 14 days","2026-04-17 (Price: 2581.5000), 1.82% below",2805.989 (Historic Rise or Fall to Pivot)/2715.541 (Avg % Gain of Historic Winning trades)/2760.77 (Function Specific Target)/4543.575 (Horizontal)/5051.5642 (F-Stack 1)/5692.579 (F-Stack 2)/3120.87 (EMA 200)/2778.6442 (Backtested Max)/2674.7869 (Backtested Min),2026-03-27 (Max),2573.7/No Horizontal Support/2286.8248/1821.1782/No F-Track Level/No F-Track Level/No EMA 200 Support,"86.67%, Past 4 years, 15",No Information,No Information,No Information,No Information,No Information,No Information,5.68%/1.73%/3.28%,"4.58%, 4.96%",21 days/1 day/10 days,12.04%,-0.2%,12.24%,0.76,-0.13,82.98%/141/14 days (Across ALL Assets),75.24%/521/15 days (Across ALL Assets),portfolio_target_achieved,2596.0,
TRENDPULSE,"HOOD, Long, 2025-09-30 (Price: 143.18)",Daily,No Exit Yet,No Price Target,2026-03-09 (Max),100.55%/109.5%,"-45.04%, 5.4 months","2026-04-17 (Price: 90.7500), 36.62% below",172.4889 (Historic Rise or Fall to Pivot)/157.813 (Avg % Gain of Historic Winning trades)/200.38 (Function Specific Target)/164.8517 (F-Stack 1)/245.4076 (F-Stack 2)/174.9946 (Backtested Max),No Next Date Target,100.82/8.2917/115.0659/84.2959/No F-Track Level/No F-Track Level/70.24,"100.0%, Past 4 years, 25",No Information,No Information,No Information,No Information,No Information,42.44% below/45.04% below/45.04% below,22.22%/3.89%/10.22%,"-0.0%, 47.66%",3.7 months/6 days/29 days,67.82%,12.03%,55.79%,1.39,0.66,92.26%/297/1.2 month (Across ALL Assets),80.46%/522/1.4 month (Across ALL Assets),portfolio_target_achieved,135.67,
DELTADRIFT,"DIA, Long, 2026-03-10 (Price: 477.7)",Daily,No Exit Yet,No Price Target,2026-03-11 (Min),1.78%/2.75%,"-0.6%, 1 day","2026-04-17 (Price: 494.2200), 3.46% above",510.5658 (Historic Rise or Fall to Pivot)/487.875 (Avg % Gain of Historic Winning trades)/499.22 (Function Specific Target)/538.1343 (F-Stack 1)/826.9871 (F-Stack 2)/492.2698 (Backtested Max)/483.2413 (Backtested Min),2026-04-26 (Max)/2026-03-24 (Avg),475.23/326.1/359.6128/249.2814/No F-Track Level/No F-Track Level/464.35,"86.67%, Past 4 years, 15",No Information,No Information,No Information,No Information,No Information,No Information,3.05%/1.16%/2.13%,"6.08%, 6.08%",1.1 month/1 day/10 days,8.1%,6.92%,1.18%,0.39,0.46,82.98%/141/14 days (Across ALL Assets),75.24%/521/15 days (Across ALL Assets),portfolio_target_achieved,477.74,
DELTADRIFT,"TFII.TO, Long, 2026-03-11 (Price: 150.79)",Daily,No Exit Yet,No Price Target,2026-03-12 (Min),2.44%/2.47%,"0.0%, 0 days","2026-04-17 (Price: 180.2000), 19.50% above",154.5145 (Historic Rise or Fall to Pivot)/157.4851 (Avg % Gain of Historic Winning trades)/156.0 (Function Specific Target)/219.9933 (Horizontal)/242.6984 (F-Stack 1)/258.8209 (F-Stack 2)/161.3151 (Backtested Max)/154.4693 (Backtested Min),2026-07-15 (Max)/2026-03-12 (Min)/2026-04-14 (Avg),150.27/115.528/137.0861/127.5271/149.105/No support/133.83,"76.92%, Past 4 years, 13",No Information,No Information,No Information,No Information,No Information,No Information,6.98%/2.44%/4.44%,"22.89%, 22.89%",2.9 months/1 day/24 days,2.12%,8.54%,-6.42%,0.02,0.43,82.98%/141/14 days (Across ALL Assets),75.24%/521/15 days (Across ALL Assets),portfolio_target_achieved,149.08,
TRENDPULSE,"MEL.NZ, Long, 2025-11-03 (Price: 5.94)",Daily,No Exit Yet,No Price Target,2026-03-09 (Avg),10.38%/10.63%,"-6.57%, 4.3 months","2026-04-17 (Price: 5.5400), 6.73% below",6.1562 (Historic Rise or Fall to Pivot)/6.1259 (Avg % Gain of Historic Winning trades)/6.14 (Function Specific Target)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4213 (F-Stack 2)/6.297 (Backtested Max),2026-10-29 (Max),5.8/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level/5.75,"88.24%, Past 4 years, 34",No Information,No Information,No Information,No Information,No Information,6.57% below/6.57% below/6.57% below,6.01%/0.46%/3.13%,"6.51%, 16.22%",8.3 months/7 days/2.9 months,14.44%,0.14%,14.3%,0.3,0.02,92.26%/297/1.2 month (Across ALL Assets),80.46%/522/1.4 month (Across ALL Assets),portfolio_target_achieved,5.9,
TRENDPULSE,"IFT.NZ, Long, 2024-10-31 (Price: 12.6)",Monthly,2026-03-11 (Price: 10.93),No Price Target,No Date Target,18.78%/26.97%,"-13.25%, 1.4 year","2026-04-17 (Price: 12.0500), 4.37% below",14.044 (Historic Rise or Fall to Pivot)/13.8776 (Avg % Gain of Historic Winning trades)/19.79 (Function Specific Target)/18.927 (F-Stack 1)/29.733 (F-Stack 2)/15.12 (Backtested Max)/12.983 (Backtested Min),2026-09-08 (Max),3.91/7.3167/12.2485/8.121/No F-Track Level/No F-Track Level/11.07,"100.0%, Past 20 years, 12",No Information,No Information,No Information,No Information,No Information,10.78% below/12.35% below/13.25% below,20.0%/3.04%/10.14%,"-0.0%, 18.64%",1.3 year/5 months/9.7 months,5.74%,8.41%,-2.67%,1.75,0.5,91.46%/82/11.7 months (Across ALL Assets),67.46%/126/9.5 months (Across ALL Assets),portfolio_target_achieved,12.315,
DELTADRIFT,"KXS.TO, Long, 2026-02-22 (Price: 124.2)",Weekly,2026-03-08 (Price: 135.23),139.3151 (Avg % Gain of Historic Winning trades)/140.6689 (Backtested Max)/138.2843 (Backtested Min),No Date Target,3.2%/6.21%,"11.96%, 17 days","2026-04-17 (Price: 147.0200), 18.37% above",147.6862 (Historic Rise or Fall to Pivot)/143.5 (Function Specific Target)/209.885 (Horizontal)/245.9157 (F-Stack 1)/289.1348 (F-Stack 2)/176.73 (EMA 200),2026-07-24 (Max)/2026-05-15 (Min)/2026-06-19 (Avg),123.77/No Horizontal Support/118.5983/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 11 years, 4",No Information,No Information,No Information,No Information,No Information,No Information,13.26%/11.34%/12.17%,"0%, 17.71%",3.5 months/1.9 month/2.7 months,12.67%,15.77%,-3.1%,14.45,0.74,76.92%/13/2.5 months (Across ALL Assets),86.96%/115/2.2 months (Across ALL Assets),portfolio_target_achieved,122.9,
TRENDPULSE,"MX.TO, Long, 2026-03-01 (Price: 68.82)",Weekly,No Exit Yet,72.2541 (Backtested Min),No Date Target,1.15%/8.97%,"5.49%, 10 days","2026-04-17 (Price: 74.2400), 7.88% above",79.1155 (Historic Rise or Fall to Pivot)/80.7534 (Avg % Gain of Historic Winning trades)/80.74 (Function Specific Target)/73.435 (Horizontal)/104.8718 (F-Stack 1)/122.9238 (F-Stack 2)/93.2649 (Backtested Max),2027-11-16 (Max)/2026-04-10 (Min)/2026-09-16 (Avg),47.63/38.425/68.3859/48.7635/No F-Track Level/No F-Track Level/52.74,"82.61%, Past 10 years, 23",No Information,No Information,No Information,No Information,No Information,5.49% above/5.49% above/5.49% above,35.52%/4.99%/17.34%,"20.89%, 73.13%",1.2 year/28 days/4.6 months,11.89%,3.89%,8.0%,0.73,0.26,89.4%/151/4.7 months (Across ALL Assets),77.07%/266/3.6 months (Across ALL Assets),portfolio_target_achieved,67.08,
FRACTAL TRACK,"ENZL, Long, 2025-11-21 (Price: 44.33)",Daily,No Exit Yet,No Price Target,2026-03-09 (Min),6.86%/8.69%,"1.91%, 3.7 months","2026-04-17 (Price: 44.5703), 0.54% above",48.2754 (Avg % Gain of Historic Winning trades)/65.1933 (Horizontal)/79.7363 (F-Stack 1)/84.688 (F-Stack 2)/49.0999 (Backtested Max),2026-10-30 (Max)/2026-06-30 (Avg),43.67/39.215/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 12",No Information,No Information,No Information,"88.6% (Price: 44.7617), 0.92% above, Upmove Bounce Back","2025-08-27 (Price: 44.43), 2025-10-03 (Price: 47.34)",No Information,10.76%/5.53%/8.9%,"-0.0%, 17.13%",7.9 months/2.5 months/5.1 months,9.1%,-5.47%,14.57%,0.51,-0.57,94.22%/294/5.4 months (Across ALL Assets),50.0%/54/4.8 months (Across ALL Assets),portfolio_target_achieved,44.01,
TRENDPULSE,"TRI.TO, Short, 2026-02-08 (Price: 120.18)",Weekly,2026-03-08 (Price: 151.44),No Price Target,No Date Target,-61.57%/-50.46%,"-16.54%, 1 month","2026-04-17 (Price: 127.4500), 6.05% above",113.4499 (Avg % Gain of Historic Winning trades)/53.83 (Function Specific Target)/93.0152 (F-Stack 1)/69.3828 (F-Stack 2),2026-10-18 (Max)/2026-03-20 (Min)/2026-05-27 (Avg),No support/No Horizontal Support/93.0152/69.3828/No F-Track Level/No F-Track Level/No support,"89.47%, Past 10 years, 19",No Information,No Information,No Information,No Information,No Information,16.54% above/16.54% above/16.54% above,15.6%/1.62%/5.6%,"24.19%, 18.85%",5.8 months/28 days/2.5 months,-0.74%,4.79%,-5.53%,0.37,0.22,66.67%/6/1.9 month (Across ALL Assets),35.71%/14/1.5 month (Across ALL Assets),portfolio_target_achieved,155.0,
TRENDPULSE,"TRI.TO, Short, 2025-10-31 (Price: 214.84)",Monthly,2026-03-11 (Price: 140.06),No Price Target,No Date Target,-26.47%/-16.54%,"34.81%, 4.4 months","2026-04-17 (Price: 127.4500), 40.68% below",102.98 (Function Specific Target)/116.89 (Horizontal)/131.2534 (F-Stack 2),2026-06-09 (Max)/2026-06-05 (Min)/2026-06-05 (Min),No support/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No support,"87.5%, Past 20 years, 8",No Information,No Information,No Information,No Information,No Information,35.19% below/34.81% below/34.81% below,23.76%/7.99%/13.25%,"41.99%, 25.96%",5.1 months/5 months/5 months,4.94%,4.79%,0.15%,-0.02,0.22,100.0%/3/5.6 months (Across ALL Assets),0.0%/7/6.3 months (Across ALL Assets),portfolio_target_achieved,216.11,
TRENDPULSE,"TRI.TO, Short, 2025-09-30 (Price: 216.1)",Monthly,2026-03-11 (Price: 140.06),No Price Target,No Date Target,-26.12%/-16.54%,"35.19%, 5.4 months","2026-04-17 (Price: 127.4500), 41.02% below",103.48 (Function Specific Target)/116.89 (Horizontal)/131.2534 (F-Stack 2),2026-05-09 (Max)/2026-05-05 (Min)/2026-05-05 (Min),No support/116.89/193.124/131.2534/No F-Track Level/No F-Track Level/No support,"87.5%, Past 20 years, 8",No Information,No Information,No Information,No Information,No Information,42.58% below/42.11% below/35.19% below,23.76%/7.99%/13.25%,"41.99%, 25.96%",5.1 months/5 months/5 months,4.94%,4.79%,0.15%,-0.02,0.22,100.0%/3/5.6 months (Across ALL Assets),0.0%/7/6.3 months (Across ALL Assets),portfolio_target_achieved,244.35,
DELTADRIFT,"JPM, Short, 2025-10-31 (Price: 311.12)",Monthly,2026-03-11 (Price: 287.52),287.5071 (F-Stack 2),2026-03-10 (Max),-56.26%,"7.59%, 4.4 months","2026-04-17 (Price: 310.2900), 0.27% below",125.7575 (Horizontal),No Next Date Target,No support/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 45 years, 5",No Information,No Information,No Information,No Information,No Information,No Information,7.59%/5.25%/6.44%,"20.94%, 8.48%",3 months/2 months/2.4 months,2.69%,4.88%,-2.19%,-0.03,0.32,25.0%/4/2.8 months (Across ALL Assets),25.0%/4/3.6 months (Across ALL Assets),portfolio_target_achieved,313.97,
OSCILLATOR DELTA,"NFLX, Short, 2026-03-10 (Price: 96.94)",Daily,2026-03-11 (Price: 94.89),No Price Target,No Date Target,-63.26%/-18.26%,"2.11%, 1 day","2026-04-17 (Price: 97.3100), 0.38% above",86.994 (Historic Rise or Fall to Pivot)/89.8537 (Avg % Gain of Historic Winning trades)/88.42 (Function Specific Target)/34.8663 (Horizontal)/86.4764 (F-Stack 1)/77.567 (F-Stack 2),2026-05-14 (Max)/2026-03-14 (Min)/2026-04-07 (Avg),No Recent Maxima/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No support,"100.0%, Past 6 years, 8",No Information,No Information,No Information,No Information,No Information,No Information,10.27%/4.0%/7.31%,"0.0%, 12.75%",1.5 month/3 days/20 days,19.76%,5.2%,14.56%,2.95,0.68,61.11%/18/1.2 month (Across ALL Assets),69.6%/125/1.3 month (Across ALL Assets),portfolio_target_achieved,97.805,
TRENDPULSE,"DOL.TO, Long, 2025-12-28 (Price: 205.3)",Weekly,No Exit Yet,No Price Target,2026-03-11 (Avg),8.33%/9.55%,"-5.31%, 2.5 months","2026-04-17 (Price: 176.5100), 14.02% below",241.3096 (Historic Rise or Fall to Pivot)/223.2022 (Avg % Gain of Historic Winning trades)/210.6 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/235.5202 (Backtested Max)/212.9577 (Backtested Min),2026-07-07 (Max),174.88/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/182.17,"100.0%, Past 10 years, 15",No Information,No Information,No Information,No Information,No Information,5.31% below/5.31% below/5.31% below,14.72%/3.73%/8.72%,"-0.0%, 10.74%",4.4 months/1.2 month/1.7 month,10.04%,18.73%,-8.69%,2.04,1.19,89.4%/151/4.7 months (Across ALL Assets),75.56%/266/3.6 months (Across ALL Assets),portfolio_target_achieved,202.62,
BASELINEDIVERGENCE,"DOL.TO, Long, 2026-01-04 (Price: 206.17)",Weekly,2026-03-12 (Price: 194.4),No Price Target,No Date Target,6.1%/14.49%,"-5.71%, 2.2 months","2026-04-17 (Price: 176.5100), 14.39% below",228.2714 (Historic Rise or Fall to Pivot)/222.5605 (Avg % Gain of Historic Winning trades)/294.0831 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/264.1656 (Backtested Max)/206.2525 (Backtested Min),2026-08-26 (Max)/2026-04-05 (Min)/2026-05-14 (Avg),174.88/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/190.87,"84.81%, Past 10 years, 79",No Information,"^GSPC, Normal Case",No Information,No Information,No Information,No Information,28.13%/0.04%/7.95%,"9.81%, 20.94%",5.4 months/2.1 months/3 months,31.56%,15.32%,16.24%,0.92,0.93,60.0%/25/3.6 months (Across ALL Assets),65.55%/569/3.3 months (Across ALL Assets),portfolio_target_achieved,205.6,
